Date,Direction,MktReturn,12m_cpi_forecast,12m_real_gdp_forecast_calculated,12m_unemployment_rate,wti_prev_yoy_chg,PE_ratio_shiller,corp_bond_yield_prev_month,MktReturn_prev_month,MktReturn_prev_yr
195201,Up,1.6,2.4546425,4.3829644,3.1,0,12.15,3.01,3.8898647,16.4625184
195202,Down,-2.5,2.4546425,4.3829644,3.1,0,12.53,2.98,1.5565797,11.4496722
195203,Up,4.55,2.4546425,4.3829644,3.1,0,12.36,2.93,-3.6453978,6.6972526
195204,Down,-4.85,2.4546425,4.3829644,3.1,0,12.36,2.96,4.7721453,13.8785093
195205,Up,3.33,2.4546425,4.3829644,3.1,0,12.24,2.93,-4.30858,3.9679001
195206,Up,3.98,-0.3709592,2.5493519,3,0,12.2,2.93,2.3156132,10.8736106
195207,Up,1.06,-0.3709592,2.5493519,3,0,12.45,2.94,4.6102177,19.0839704
195208,Down,-0.61,-0.3709592,2.5493519,3,0,12.67,2.95,1.7628246,13.3928571
195209,Down,-1.87,-0.3709592,2.5493519,3,0,12.68,2.94,-1.456689,7.5171818
195210,Down,-0.52,-0.3709592,2.5493519,3,0,12.43,2.95,-1.9576507,5.5030138
195211,Up,6.04,-0.3709592,2.5493519,3,0,12.13,3.01,-0.0815037,6.887528
195212,Up,3.09,-0.9952855,2.9172424,2.7,0,12.47,2.98,4.6492659,12.1503546
195301,Down,-0.18,-0.9952855,2.9172424,2.7,0,12.93,2.97,3.5463757,11.7795541
195302,Down,-0.13,-0.9952855,2.9172424,2.7,0,13.01,3.02,-0.715096,9.279205
195303,Down,-1.25,-0.9952855,2.9172424,2.7,0,12.86,3.07,-1.8195566,11.349957
195304,Down,-2.67,-0.9952855,2.9172424,2.7,0,12.83,3.12,-2.3552085,3.7751332
195305,Up,0.69,-0.9952855,2.9172424,2.7,0,12.16,3.23,-2.6492684,5.5746184
195306,Down,-1.71,-1.6307207,-1.4163707,2.5,0,12.14,3.34,-0.3249391,2.849958
195307,Up,2.55,-1.6307207,-1.4163707,2.5,9.7276265,11.62,3.4,-1.6299999,-3.2852565
195308,Down,-4.35,-1.6307207,-1.4163707,2.5,9.7276265,11.75,3.28,2.5269305,-2.5590551
195309,Up,0.36,-1.6307207,-1.4163707,2.5,9.7276265,11.72,3.24,-5.7777778,-6.8318056
195310,Up,4.73,-1.6307207,-1.4163707,2.5,9.7276265,11.14,3.29,0.1286449,-4.8492296
195311,Up,2.91,-1.6307207,-1.4163707,2.5,9.7276265,11.39,3.16,5.096364,0.0815701
195312,Up,0.16,-1.2131716,-2.5808664,4.5,9.7276265,11.64,3.11,0.8964914,-3.5074045
195401,Up,5.24,-1.2131716,-2.5808664,4.5,9.7276265,11.75,3.13,0.2019346,-6.6240158
195402,Up,1.74,-1.2131716,-2.5808664,4.5,9.7276265,12,3.06,5.1189079,-1.1372214
195403,Up,3.73,-1.2131716,-2.5808664,4.5,9.7276265,12.22,2.95,0.2684049,0.965251
195404,Up,4.36,-1.2131716,-2.5808664,4.5,9.7276265,12.42,2.86,3.0210363,6.5243177
195405,Up,3.14,-1.2131716,-2.5808664,4.5,9.7276265,12.91,2.85,4.8997734,14.7847232
195406,Up,1.13,-0.08726,0.7021287,5.6,9.7276265,13.31,2.88,3.290874,18.9486545
195407,Up,5.04,-0.08726,0.7021287,5.6,0,13.36,2.9,0.0685098,21.0024864
195408,Down,-2.29,-0.08726,0.7021287,5.6,0,13.83,2.89,5.7172203,24.7676727
195409,Up,6.48,-0.08726,0.7021287,5.6,0,14.04,2.87,-3.4002559,27.915952
195410,Down,-1.6,-0.08726,0.7021287,5.6,0,14.36,2.89,8.3137814,38.3725953
195411,Up,9.44,-0.08726,0.7021287,5.6,0,14.62,2.87,-1.9498638,29.0953493
195412,Up,5.56,0.1746725,3.060208,5,0,15.12,2.89,8.0808144,38.2875687
195501,Up,0.68,0.1746725,3.060208,5,0,15.79,2.9,5.0817696,45.0221743
195502,Up,3.11,0.1746725,3.060208,5,0,15.99,2.93,1.806562,40.4524578
195503,Down,-0.06,0.1746725,3.060208,5,0,16.44,2.93,0.3548922,40.5736061
195504,Up,3.21,0.1746725,3.060208,5,0,16.22,3.02,-0.4896518,35.7832244
195505,Up,1.07,0.1746725,3.060208,5,0,16.69,3.01,3.7725449,34.3241295
195506,Up,6.65,0.525394,2.1773087,4.2,0,16.52,3.04,-0.131715,29.8732398
195507,Up,2,0.525394,2.1773087,4.2,0,17.37,3.05,8.2300158,40.4655954
195508,Up,0.37,0.525394,2.1773087,4.2,0,18.45,3.06,6.0687328,40.9326471
195509,Down,-0.2,0.525394,2.1773087,4.2,0,18.22,3.11,-0.78125,44.7536038
195510,Down,-2.5,0.525394,2.1773087,4.2,0,18.84,3.13,1.13478,35.159383
195511,Up,7.2,0.525394,2.1773087,4.2,0,17.77,3.1,-3.0455646,33.6489899
195512,Up,1.67,0.6092254,2.0727669,4.2,0,18.84,3.1,7.4870052,32.914706
195601,Down,-2.81,0.6092254,2.0727669,4.2,0,18.94,3.15,-0.0659152,26.4035575
195602,Up,3.96,0.6092254,2.0727669,4.2,0,18.29,3.11,-3.649956,19.6287164
195603,Up,6.79,0.6092254,2.0727669,4.2,0,18.27,3.08,3.4687357,23.3405943
195604,Up,0.47,0.6092254,2.0727669,4.2,0,19.37,3.1,6.9254521,32.5314307
195605,Down,-4.97,0.6092254,2.0727669,4.2,0,19.37,3.24,-0.2062686,27.4499533
195606,Up,3.68,0.6092254,0.9963943,4.3,0,18.54,3.28,-6.5729639,19.2297573
195607,Up,5.06,0.6092254,0.9963943,4.3,0,18.16,3.26,3.9159291,14.477217
195608,Down,-3.01,0.6092254,0.9963943,4.3,0,18.86,3.28,5.1522205,13.4880492
195609,Down,-4.96,0.6092254,0.9963943,4.3,0,18.67,3.43,-3.8064407,10.027786
195610,Up,0.77,0.6092254,0.9963943,4.3,0,17.84,3.56,-4.5464115,3.8470348
195611,Up,0.56,0.6092254,0.9963943,4.3,0,17.42,3.59,0.5071753,7.6523429
195612,Up,3.4,1.104503,2.8104318,4.2,0,17.12,3.69,-1.0969723,-0.9448385
195701,Down,-3.31,1.104503,2.8104318,4.2,0,17.2,3.75,3.527054,2.6165303
195702,Down,-1.82,1.104503,2.8104318,4.2,0,16.72,3.77,-4.1782667,2.053859
195703,Up,2.36,1.104503,2.8104318,4.2,8.8652482,15.84,3.67,-3.2647651,-4.5875651
195704,Up,4.51,1.104503,2.8104318,4.2,8.8652482,15.9,3.66,1.9648706,-9.0140243
195705,Up,3.71,1.104503,2.8104318,4.2,8.8652482,16.12,3.67,3.6953094,-5.4567982
195706,Down,-0.5,1.424979,1.5953909,4.3,8.8652482,16.6,3.74,3.6947921,4.933626
195707,Up,0.96,1.424979,1.5953909,4.3,8.8652482,16.73,3.91,-0.1265043,0.8516031
195708,Down,-4.86,1.424979,1.5953909,4.3,8.8652482,16.87,3.99,1.1399641,-2.996556
195709,Down,-5.72,1.424979,1.5953909,4.3,8.8652482,15.87,4.1,-5.6146921,-4.8200318
195710,Down,-4.03,1.424979,1.5953909,4.3,8.8652482,15.16,4.12,-6.191957,-6.4608603
195711,Up,2.58,1.424979,1.5953909,4.3,8.8652482,14.15,4.1,-3.206028,-9.9166319
195712,Down,-3.67,0.7431874,0.0768581,5.2,8.8652482,13.74,4.08,1.6074038,-7.453418
195801,Up,4.94,0.7431874,0.0768581,5.2,6.3829787,13.67,3.81,-4.1466897,-14.3132554
195802,Down,-1.4,0.7431874,0.0768581,5.2,8.8652482,13.79,3.6,4.2760663,-6.7531304
195803,Up,3.36,0.7431874,0.0768581,5.2,0,13.78,3.59,-2.0623525,-5.5940779
195804,Up,3.17,0.7431874,0.0768581,5.2,0,13.93,3.63,3.0852057,-4.5567965
195805,Up,2.42,0.7431874,0.0768581,5.2,0,13.91,3.6,3.1829004,-5.0284279
195806,Up,2.96,0.4048583,2.6757104,7.3,0,14.32,3.57,1.4963191,-7.0419566
195807,Up,4.46,0.4048583,2.6757104,7.3,0,14.64,3.57,2.6083057,-4.4965105
195808,Up,1.95,0.4048583,2.6757104,7.3,0,14.96,3.67,4.310338,-1.5028199
195809,Up,4.85,0.4048583,2.6757104,7.3,0,15.54,3.85,1.1866942,5.5948672
195810,Up,2.71,0.4048583,2.6757104,7.3,0,15.93,4.09,4.8376984,18.0103804
195811,Up,3.12,0.4048583,2.6757104,7.3,0,16.56,4.11,2.5369576,25.0121791
195812,Up,5.37,1.0509297,7.0356307,6.2,-2.2801303,16.99,4.09,2.2404012,25.7909845
195901,Up,0.92,1.0509297,7.0356307,6.2,0,17.36,4.08,5.2019798,38.0595055
195902,Up,1.14,1.0509297,7.0356307,6.2,-2.2801303,17.98,4.12,0.4347075,32.9736203
195903,Up,0.5,1.0509297,7.0356307,6.2,-2.2801303,17.76,4.14,-0.0721389,35.675808
195904,Up,3.86,1.0509297,7.0356307,6.2,-3.257329,18.2,4.13,0.05414,31.6864647
195905,Up,1.95,1.0509297,7.0356307,6.2,-3.257329,18.43,4.23,3.8780683,32.5736679
195906,Down,0,0.8878128,6.1785684,5,-3.257329,18.69,4.37,1.8926897,33.0914039
195907,Up,3.42,0.8878128,6.1785684,5,-3.257329,18.45,4.46,-0.3578715,29.2440283
195908,Down,-1.2,0.8878128,6.1785684,5,-3.257329,19.09,4.47,3.4889635,28.2263176
195909,Down,-4.49,0.8878128,6.1785684,5,-3.257329,18.96,4.43,-1.5038837,24.8167497
195910,Up,1.58,0.8878128,6.1785684,5,-3.257329,18.12,4.52,-4.5637535,13.6236513
195911,Up,1.86,0.8878128,6.1785684,5,-3.257329,18.02,4.57,1.125174,12.0592203
195912,Up,2.79,1.1952191,6.410297,5.3,-1,18.07,4.56,1.3212778,11.0518274
196001,Down,-6.65,1.1952191,6.410297,5.3,-1,18.62,4.58,2.7625258,8.4767254
196002,Up,1.46,1.1952191,6.410297,5.3,-1,18.34,4.61,-7.1464319,0.2885482
196003,Down,-1.28,1.1952191,6.410297,5.3,-1,17.55,4.56,0.9170976,1.2813554
196004,Down,-1.52,1.1952191,6.410297,5.3,0,17.29,4.49,-1.3898771,-0.1803734
196005,Up,3.39,1.1952191,6.410297,5.3,0,17.43,4.45,-1.7528027,-5.5912502
196006,Up,2.32,0.6339144,3.3245022,5.4,0,17.26,4.46,2.68531,-4.8568473
196007,Down,-2.24,0.6339144,3.3245022,5.4,0,17.82,4.45,1.9523481,-2.6509372
196008,Up,3.18,0.6339144,3.3245022,5.4,0,17.38,4.41,-2.477161,-8.2630973
196009,Down,-5.83,0.6339144,3.3245022,5.4,0,17.58,4.28,2.6121439,-4.4295287
196010,Down,-0.49,0.6339144,3.3245022,5.4,0,17.05,4.25,-6.0393242,-5.9071747
196011,Up,4.82,0.6339144,3.3245022,5.4,0,16.61,4.3,-0.2429017,-7.180113
196012,Up,4.87,0.7069914,2.5700692,6.6,0,17.15,4.31,4.0269752,-4.701438
196101,Up,6.39,0.7069914,2.5700692,6.6,0,17.56,4.35,4.6272956,-2.9721123
196102,Up,3.71,0.7069914,2.5700692,6.6,0,18.47,4.32,6.3156048,11.095123
196103,Up,3.09,0.7069914,2.5700692,6.6,0,19.23,4.27,2.6869538,13.0434785
196104,Up,0.46,0.7069914,2.5700692,6.6,0,19.84,4.22,2.5535924,17.5641453
196105,Up,2.58,0.7069914,2.5700692,6.6,0,20.38,4.25,0.3842607,20.121389
196106,Down,-2.88,1.1764706,7.8671469,5.5,0,20.6,4.27,1.9139489,19.21905
196107,Up,3.01,1.1764706,7.8671469,5.5,0,20.33,4.33,-2.884614,13.5628975
196108,Up,2.71,1.1764706,7.8671469,5.5,0,20.15,4.41,3.2797077,20.2666266
196109,Down,-1.98,1.1764706,7.8671469,5.5,0,20.94,4.45,1.9622498,19.5049178
196110,Up,2.76,1.1764706,7.8671469,5.5,0,20.71,4.45,-1.9685574,24.6823673
196111,Up,4.6,1.1764706,7.8671469,5.5,0,20.92,4.42,2.8323092,28.5259492
196112,Up,0.01,1.2461059,7.1601322,5.3,0,21.86,4.39,3.9347084,28.411953
196201,Down,-3.63,1.2461059,7.1601322,5.3,0,22.04,4.42,0.3224944,23.1285523
196202,Up,2.01,1.2461059,7.1601322,5.3,0,21.2,4.42,-3.7875708,11.4276418
196203,Down,-0.48,1.2461059,7.1601322,5.3,0,21.45,4.42,1.6269655,10.2774277
196204,Down,-6.37,1.2461059,7.1601322,5.3,0,21.44,4.39,-0.5860435,6.9013298
196205,Down,-8.41,1.2461059,7.1601322,5.3,0,20.66,4.33,-6.1969875,-0.1071811
196206,Down,-8.27,1.2357414,3.6338555,5.5,0,19.09,4.28,-8.5990147,-10.4116545
196207,Up,6.55,1.2357414,3.6338555,5.5,0,16.83,4.28,-8.1838016,-15.3001225
196208,Up,2.36,1.2357414,3.6338555,5.5,0,17.14,4.34,6.3561644,-12.7771147
196209,Down,-5.01,1.2357414,3.6338555,5.5,0,17.57,4.35,1.5284201,-13.1482312
196210,Up,0.2,1.2357414,3.6338555,5.5,0,17.32,4.32,-4.820702,-15.6751124
196211,Up,11.07,1.2357414,3.6338555,5.5,0,16.74,4.28,0.4442865,-17.6333466
196212,Up,1.24,1.2264151,2.7714239,5.5,0,17.85,4.25,10.1556936,-12.7033118
196301,Up,5.18,1.2264151,2.7714239,5.5,0,18.59,4.24,1.3491809,-11.8099296
196302,Down,-2.15,1.2264151,2.7714239,5.5,0,19.26,4.21,4.9128353,-3.8349784
196303,Up,3.31,1.2264151,2.7714239,5.5,0,19.47,4.19,-2.8851905,-8.1046285
196304,Up,4.76,1.2264151,2.7714239,5.5,0,19.29,4.19,3.5464286,-4.2846914
196305,Up,2,1.2264151,2.7714239,5.5,0,20.15,4.21,4.85204,6.9895848
196306,Down,-1.77,1.2241055,4.2323478,5.6,0,20.51,4.22,1.4326647,18.7321848
196307,Down,-0.12,1.2241055,4.2323478,5.6,0,20.38,4.23,-2.0197739,26.7032018
196308,Up,5.32,1.2241055,4.2323478,5.6,0,19.97,4.26,-0.3459795,18.7188683
196309,Down,-1.3,1.2241055,4.2323478,5.6,0,20.47,4.29,4.874878,22.6319371
196310,Up,2.82,1.2241055,4.2323478,5.6,0,20.96,4.31,-1.1034524,27.421356
196311,Down,-0.58,1.2241055,4.2323478,5.6,0,20.89,4.32,3.2217644,30.9448018
196312,Up,2.12,1.2126866,4.7835764,5.5,0,20.72,4.33,-1.0539103,17.6196681
196401,Up,2.54,1.2126866,4.7835764,5.5,0,21.04,4.35,2.4443451,18.8906488
196402,Up,1.8,1.2126866,4.7835764,5.5,0,21.63,4.39,2.6926207,16.3746291
196403,Up,1.72,1.2126866,4.7835764,5.5,0,21.83,4.36,0.9865031,21.0141574
196404,Up,0.39,1.2126866,4.7835764,5.5,0,22.17,4.38,1.5167095,18.6420355
196405,Up,1.68,1.2126866,4.7835764,5.5,0,22.42,4.4,0.6077437,13.8395352
196406,Up,1.57,1.4842301,5.1769542,5.2,0,22.57,4.41,1.1452354,13.5169486
196407,Up,2.04,1.4842301,5.1769542,5.2,0,22.3,4.41,1.6424026,17.7598363
196408,Down,-1.16,1.4842301,5.1769542,5.2,-1.6835017,22.98,4.4,1.8239662,20.3240324
196409,Up,2.97,1.4842301,5.1769542,5.2,-1.6835017,22.65,4.41,-1.6229839,12.8689683
196410,Up,0.88,1.4842301,5.1769542,5.2,-1.6835017,22.89,4.42,2.8718049,17.4058627
196411,Up,0.29,1.4842301,5.1769542,5.2,-1.6835017,23.21,4.42,0.807794,14.6601793
196412,Up,0.34,1.3824885,4.2826929,5.4,-1.6835017,23.23,4.43,-0.5185046,15.2806152
196501,Up,3.82,1.3824885,4.2826929,5.4,-1.6835017,22.75,4.44,0.390905,12.9698792
196502,Up,0.74,1.3824885,4.2826929,5.4,-1.6835017,23.27,4.43,3.3156319,13.65524
196503,Down,-0.98,1.3824885,4.2826929,5.4,-1.6835017,23.37,4.41,-0.1484673,12.3778877
196504,Up,3.42,1.3824885,4.2826929,5.4,-1.6835017,23.25,4.42,-1.4525861,9.09091
196505,Down,-0.46,1.3824885,4.2826929,5.4,-1.6835017,23.42,4.43,3.4238589,12.1444779
196506,Down,-5.16,1.0978957,3.9421783,5.2,-1.6835017,23.71,4.44,-0.7743272,10.0161686
196507,Up,1.74,1.0978957,3.9421783,5.2,-1.6835017,22.39,4.46,-4.8631476,2.9746615
196508,Up,3.06,1.0978957,3.9421783,5.2,0,22.3,4.48,1.3433155,2.488579
196509,Up,3.17,1.0978957,3.9421783,5.2,0,22.67,4.49,2.2521971,6.525719
196510,Up,2.91,1.0978957,3.9421783,5.2,0,23.37,4.52,3.2006436,6.8662378
196511,Up,0.32,1.0978957,3.9421783,5.2,0,23.78,4.56,2.7345476,8.9087873
196512,Up,1.34,1.9021739,4.9612947,4.15,0,23.93,4.6,-0.8764304,8.5169429
196601,Up,1.1,1.9021739,4.9612947,4.15,0,23.69,4.68,0.8950977,9.0619469
196602,Down,-0.86,1.9021739,4.9612947,4.15,0,24.06,4.74,0.4868517,6.0758327
196603,Down,-2.13,1.9021739,4.9612947,4.15,0,23.7,4.78,-1.7872481,4.3348976
196604,Up,2.48,1.9021739,4.9612947,4.15,0,22.61,4.92,-2.1815369,3.563137
196605,Down,-5.25,1.9021739,4.9612947,4.15,0,23.11,4.96,2.0508741,2.1883032
196606,Down,-1.06,2.2222222,5.4959456,3.8,0,21.85,4.98,-5.414014,-2.589913
196607,Down,-1.28,2.2222222,5.4959456,3.8,0,21.56,5.07,-1.6138384,0.7370364
196608,Down,-7.5,2.2222222,5.4959456,3.8,0,21.38,5.16,-1.3452915,-1.9354862
196609,Down,-0.66,2.2222222,5.4959456,3.8,0,19.91,5.31,-7.7751198,-11.5521398
196610,Up,4.31,2.2222222,5.4959456,3.8,1.7123288,19.16,5.49,-0.7003891,-14.8955104
196611,Up,1.8,2.2222222,5.4959456,3.8,1.7123288,18.83,5.41,4.7544398,-13.2222476
196612,Up,0.53,2.6200873,4.6858487,4.2,1.7123288,19.71,5.35,0.3117207,-12.1820804
196701,Up,8.58,2.6200873,4.6858487,4.2,1.7123288,19.74,5.39,-0.1491548,-13.0909856
196702,Up,1.14,2.6200873,4.6858487,4.2,1.7123288,20.43,5.2,7.8177503,-6.7506419
196703,Up,4.38,2.6200873,4.6858487,4.2,2.739726,21.07,5.03,0.1962799,-4.8673558
196704,Up,4.21,2.6200873,4.6858487,4.2,2.739726,21.44,5.13,3.940998,1.0870716
196705,Down,-4,2.6200873,4.6858487,4.2,2.739726,21.69,5.11,4.2239525,3.2396267
196706,Up,2.68,2.7753686,4.858519,3.9,2.739726,21.95,5.24,-5.2441229,3.4250611
196707,Up,4.89,2.7753686,4.858519,3.9,2.739726,21.55,5.44,1.7512314,6.9624748
196708,Down,-0.58,2.7753686,4.858519,3.9,2.739726,21.8,5.58,4.534423,13.3373233
196709,Up,3.43,2.7753686,4.858519,3.9,5.1369863,22.03,5.62,-1.171505,21.4526607
196710,Down,-2.7,2.7753686,4.858519,3.9,3.3670034,22.22,5.65,3.2785135,26.3192287
196711,Up,0.73,2.7753686,4.858519,3.9,3.3670034,22.07,5.82,-3.5260015,16.3341727
196712,Up,3.38,3.2765957,5.5454467,4.2,3.3670034,21.26,6.07,0.7502647,16.8427638
196801,Down,-3.66,3.2765957,5.5454467,4.2,3.3670034,21.75,6.19,2.6276606,20.0921183
196802,Down,-3.36,3.2765957,5.5454467,4.2,3.3670034,21.51,6.17,-4.3847859,6.5004006
196803,Up,0.58,3.2765957,5.5454467,4.2,2.3333333,20.42,6.1,-3.1222865,2.9730376
196804,Up,9.48,3.2765957,5.5454467,4.2,2.3333333,19.93,6.11,0.9400134,0
196805,Up,2.73,3.2765957,5.5454467,4.2,2.3333333,21.28,6.21,8.048783,3.6698191
196806,Up,1.12,3.4195163,4.2374331,4.2,2.3333333,21.63,6.27,1.2517966,10.7768273
196807,Down,-2.24,3.4195163,4.2374331,4.2,2.3333333,22,6.28,0.9120409,9.8631985
196808,Up,1.76,3.4195163,4.2374331,4.2,2.3333333,21.75,6.24,-1.8477646,3.1556707
196809,Up,4.46,3.4195163,4.2374331,4.2,0,21.14,6.02,1.1459004,5.574543
196810,Up,0.86,3.4195163,4.2374331,4.2,0,21.68,5.97,3.8539318,6.1627537
196811,Up,5.85,3.4195163,4.2374331,4.2,0,22,6.09,0.7207617,10.8360136
196812,Down,-3.51,3.3360456,4.3562621,4,0,22.2,6.19,4.7964402,15.2872372
196901,Down,-0.72,3.3360456,4.3562621,4,0,22.28,6.45,-4.1616701,7.6604125
196902,Down,-5.38,3.3360456,4.3562621,4,0,21.19,6.59,-0.8184084,11.676067
196903,Up,3.1,3.3360456,4.3562621,4,0,20.9,6.66,-4.7374089,9.81423
196904,Up,1.99,3.3360456,4.3562621,4,5.8631922,20.2,6.85,3.4444157,12.5388086
196905,Up,0.38,3.3360456,4.3562621,4,9.1205212,20.43,6.89,2.1475716,6.3923692
